mV,log |µA/cm2|
-1.59E+02,0.245421358
-1.58E+02,-0.005874032
-1.58E+02,-0.176397653
-1.57E+02,-0.293346556
-1.57E+02,-0.386938495
-1.56E+02,-0.465181839
-1.55E+02,-0.529506745
-1.55E+02,-0.588757688
-1.54E+02,-0.64530278
-1.54E+02,-0.694922839
-1.53E+02,-0.742566955
-1.53E+02,-0.780766614
-1.52E+02,-0.820044549
-1.51E+02,-0.865263326
-1.51E+02,-0.908643313
-1.50E+02,-0.953660554
-1.49E+02,-0.978047014
-1.49E+02,-1.013387641
-1.48E+02,-1.063755161
-1.48E+02,-1.09530571
-1.47E+02,-1.130425382
-1.46E+02,-1.164315135
-1.46E+02,-1.210727775
-1.45E+02,-1.25501942
-1.45E+02,-1.282278666
-1.44E+02,-1.321856715
-1.43E+02,-1.389674628
-1.43E+02,-1.415436988
-1.42E+02,-1.463540295
-1.42E+02,-1.510426372
-1.41E+02,-1.590240967
-1.40E+02,-1.607148873
-1.40E+02,-1.686386262
-1.39E+02,-1.80072764
-1.39E+02,-1.896695149
-1.38E+02,-2.050905023
-1.37E+02,-2.135983893
-1.37E+02,-2.177246802
-1.36E+02,-2.72059362
-1.36E+02,-3.007324429
-1.35E+02,-2.348145281
-1.34E+02,-2.380835789
-1.34E+02,-2.068600056
-1.33E+02,-1.99185011
-1.33E+02,-1.862072062
-1.32E+02,-1.9076138
-1.31E+02,-1.874149985
-1.31E+02,-1.747804489
-1.30E+02,-1.740737104
-1.30E+02,-1.695615689
-1.29E+02,-1.648330252
-1.28E+02,-1.58993154
-1.28E+02,-1.58183681
-1.27E+02,-1.558531416
-1.27E+02,-1.529318343
-1.26E+02,-1.501809962
-1.25E+02,-1.478673327
-1.25E+02,-1.476787758
-1.24E+02,-1.463266234
-1.24E+02,-1.454113839
-1.23E+02,-1.43274666
-1.22E+02,-1.439239862
-1.22E+02,-1.42877848
-1.21E+02,-1.411068219
-1.20E+02,-1.394846391
-1.20E+02,-1.353100305
-1.19E+02,-1.355604842
-1.19E+02,-1.352505145
-1.18E+02,-1.353293648
-1.18E+02,-1.364916753
-1.17E+02,-1.315856986
-1.16E+02,-1.323111139
-1.16E+02,-1.297424895
-1.15E+02,-1.309642198
-1.15E+02,-1.283061675
-1.14E+02,-1.286177017
-1.13E+02,-1.27289643
-1.13E+02,-1.279457859
-1.12E+02,-1.268922859
-1.11E+02,-1.272409054
-1.11E+02,-1.252256033
-1.10E+02,-1.234089931
-1.09E+02,-1.244892542
-1.09E+02,-1.247474705
-1.08E+02,-1.234907659
-1.08E+02,-1.238080126
-1.07E+02,-1.230374503
-1.06E+02,-1.206391261
-1.06E+02,-1.204524308
-1.05E+02,-1.211683824
-1.05E+02,-1.197166845
-1.04E+02,-1.213748233
-1.03E+02,-1.206619735
-1.03E+02,-1.198417189
-1.02E+02,-1.212151101
-1.02E+02,-1.197236671
-1.01E+02,-1.181965885
-1.01E+02,-1.17758613
-9.99E+01,-1.190430926
-9.93E+01,-1.181727511
-9.87E+01,-1.166474815
-9.81E+01,-1.177420256
-9.74E+01,-1.165524997
-9.69E+01,-1.165780403
-9.63E+01,-1.170286639
-9.57E+01,-1.165604859
-9.51E+01,-1.153867525
-9.45E+01,-1.156684857
-9.39E+01,-1.156599331
-9.32E+01,-1.155466848
-9.27E+01,-1.143633797
-9.21E+01,-1.153990588
-9.15E+01,-1.148640491
-9.08E+01,-1.159419704
-9.03E+01,-1.137263655
-8.97E+01,-1.126352783
-8.90E+01,-1.135399281
-8.84E+01,-1.128566423
-8.79E+01,-1.127131486
-8.73E+01,-1.135381427
-8.67E+01,-1.123556524
-8.61E+01,-1.119049569
-8.56E+01,-1.126942031
-8.49E+01,-1.130334144
-8.44E+01,-1.120695629
-8.37E+01,-1.125019812
-8.31E+01,-1.118315721
-8.25E+01,-1.121112827
-8.19E+01,-1.103348583
-8.13E+01,-1.11213845
-8.07E+01,-1.114056774
-8.01E+01,-1.10547753
-7.95E+01,-1.106579651
-7.89E+01,-1.111046377
-7.83E+01,-1.115066895
-7.77E+01,-1.095450795
-7.71E+01,-1.102930868
-7.65E+01,-1.101093188
-7.59E+01,-1.106795968
-7.53E+01,-1.112028883
-7.47E+01,-1.101501237
-7.41E+01,-1.105219037
-7.35E+01,-1.10385335
-7.29E+01,-1.097860583
-7.23E+01,-1.091522166
-7.17E+01,-1.091585278
-7.11E+01,-1.101116812
-7.05E+01,-1.096117931
-6.99E+01,-1.087368826
-6.93E+01,-1.071745163
-6.88E+01,-1.087687745
-6.81E+01,-1.0890412
-6.75E+01,-1.080869848
-6.69E+01,-1.083212326
-6.63E+01,-1.078866132
-6.57E+01,-1.089017477
-6.51E+01,-1.08332717
-6.45E+01,-1.079063082
